gauge_id,cwc_lat,cwc_lon,ghi_lat,ghi_lon,elev_mean,elev_median,elev_min,elev_max,slope_mean,slope_median,slope_min,slope_max,cwc_area,ghi_area,gauge_elevation,dpsbar
3002,19.2967,81.7889,19.29786,81.78958,622.653992,625.0,535,783,3.028556683,2.68021369,0.0,39.35842133,1968.0,1931.8,541,2.54963375
3005,19.6867,79.7856,19.68537,79.78542,404.3925749,338.0,144,1204,3.946640423,2.074370861,0.0,116.3840637,50990.0,51469.4,146,4.225263319
3008,19.8139,79.3794,19.81458,79.38126,364.6207389,344.0,106,946,3.274947583,1.779052377,0.0,108.7554245,46020.0,46334.2,161,3.437317544
3009,18.705,77.545,18.71038,77.54375,493.5038492,498.0,353,668,3.499383645,2.666912317,0.0,29.10052299,2105.0,2117.2,355,4.176664222
3013,19.3303,79.5042,19.33125,79.50625,375.99271,384.0,160,656,8.145506079,4.588329315,0.0,70.93083954,3100.0,3182.0,168,8.120645244
3014,21.1072,78.1331,21.10625,78.13544,470.677791,434.0,287,946,4.402450513,2.301902294,0.0,108.7554245,5000.0,4983.6,306,5.187127927
3017,19.6464,81.4861,19.64793,81.48539,650.2287689,637.0,570,843,4.763498273,3.461853504,0.0,52.77690506,890.0,1026.2,583,3.81918252
3018,19.0794,81.3011,19.08125,81.30207,644.8308084,617.0,327,1381,6.741576508,3.336306095,0.0,92.39456177,17270.0,17995.6,329,4.916892403
3019,18.5622,77.5831,18.56041,77.58123,500.7325705,503.0,357,688,3.77639872,2.828687668,0.0,32.14984512,1900.0,1922.9,361,4.906524009
3020,19.2203,76.3633,19.21867,76.36458,577.5161957,553.0,385,1528,4.015958201,1.686703444,0.0,156.9631348,30840.0,30771.2,387,4.78567691
3024,18.8289,78.4367,18.82708,78.43542,429.5074944,409.0,314,667,3.422843514,1.968824387,0.0,45.60498047,1360.0,1426.7,318,4.278484476
3028,19.9472,79.0892,19.94791,79.08959,336.4648941,309.0,118,946,2.84445725,1.600147367,0.0,108.7554245,21429.0,19925.2,173,3.358350356
3029,19.0217,76.7292,19.02292,76.73124,568.8862464,546.0,364,1528,3.951173212,1.686703444,0.0,156.9631348,33934.0,33497.3,374,4.777294299
3030,20.5472,78.3247,20.54791,78.32295,394.5460203,366.0,232,946,3.247171636,1.738614082,0.0,108.7554245,10240.0,10292.8,237,3.912982292
3031,19.1081,82.0228,19.11041,82.02286,696.9948081,622.0,532,1381,8.794801201,3.578038216,0.0,92.39456177,7380.0,7339.7,538,5.208365232
3038,19.9611,77.1481,19.96041,77.14791,562.8214101,550.0,468,740,2.0887937,1.622219443,0.0,19.44652748,3515.0,3519.2,470,2.525515799
3040,22.3819,79.9,22.38124,79.89793,611.5832207,605.0,430,1028,4.253159706,2.451529264,0.0,59.14565659,2970.0,3059.2,442,4.900251163
3043,17.4875,81.3875,17.48542,81.3854,436.1068997,425.0,11,1664,4.773591943,2.108379364,0.0,156.9631348,305460.0,304628.7,83,4.78890407
3045,17.7989,81.3928,17.79779,81.39374,563.6983117,557.0,34,1664,12.76588259,6.248775005,0.0,141.7036743,19550.0,20333.8,36,10.63455307
3047,19.2772,82.2333,19.27711,82.23542,617.5735212,610.0,549,929,3.362185956,2.458771706,0.0,65.47418976,1635.0,1674.8,553,2.686543824
3048,21.8842,80.175,21.8854,80.17707,533.1835456,533.0,291,1028,4.506841448,2.515959978,0.0,73.57512665,8070.0,8432.2,291,5.08582885
3055,18.8358,79.4447,18.83542,79.44792,518.0094385,521.0,124,1528,3.206468379,1.738614082,0.0,156.9631348,102900.0,101456.2,127,3.791222333
3056,20.1889,77.9869,20.18962,77.98538,395.478865,392.0,284,570,2.807563656,2.004624128,0.0,29.94551849,2500.0,2187.4,288,3.008478088
3057,19.2989,80.6892,19.29779,80.68958,597.9588149,601.0,232,1381,7.275514278,3.602800131,0.0,141.7273865,24210.0,24041.7,234,5.37025309
3064,20.5256,78.8089,20.52707,78.81039,311.3618006,287.0,198,604,3.0987321,1.738614082,0.0,50.5518837,4580.0,4585.7,205,3.355240838
3068,19.1975,82.5119,19.19789,82.51038,797.434246,820.0,550,1381,14.73772118,11.32103443,0.0,92.39456177,3545.0,3661.3,559,7.94759027
3069,19.5344,74.8339,19.53543,74.83542,677.9642277,652.0,472,1528,7.632852092,3.336306095,0.0,133.1881714,5800.0,5581.8,476,8.118164944
3071,18.8525,80.3494,18.84795,80.34787,511.0164068,556.0,88,1381,7.27582219,3.587963581,0.0,141.7273865,40000.0,38979.8,110,5.563897221
3072,20.7931,79.6483,20.79378,79.65204,468.3029417,441.0,172,1204,4.328535854,2.270793915,0.0,116.3840637,35520.0,35991.5,220,4.890238699
3073,18.5872,80.3958,18.58542,80.39375,442.1184399,436.0,70,1528,4.016613144,1.968824387,0.0,156.9631348,268200.0,267340.4,73,4.128463358
3074,19.8175,78.5778,19.81459,78.57708,426.1884199,422.0,196,740,3.582409309,1.968824387,0.0,64.86959076,18441.0,19662.7,204,3.424198559
3075,17.2519,81.6564,17.25215,81.66043,435.9732298,425.0,10,1664,4.900445601,2.133529902,0.0,156.9631348,307800.0,306683.6,14,4.870795457
3076,18.1894,81.7981,18.18957,81.79791,250.5249929,203.0,128,1021,9.527590105,3.244438887,0.0,138.817337,1120.0,1175.1,133,7.63783968
3079,19.1758,77.0131,19.17709,77.01458,534.1974501,531.0,360,934,2.780564518,1.622219443,0.0,60.373909,15000.0,15554.9,361,2.872929059
3081,21.6256,80.2539,21.62292,80.2521,427.4188543,367.0,273,831,5.764516198,2.803431034,0.0,116.3840637,5380.0,5402.8,284,5.259061782
3082,20.1936,79.6656,20.19383,79.66456,244.9304481,240.0,186,461,2.325894175,1.555063725,0.0,57.40369797,1900.0,1898.6,193,2.184236819
3083,21.7189,78.8242,21.71876,78.82291,693.8264601,721.0,340,1166,6.413320471,4.118631363,0.0,65.44865417,2500.0,2520.0,346,7.816444976
3085,18.0758,77.0525,18.07711,77.05207,649.02842,641.0,544,844,1.716726557,1.52037394,0.0,29.16095161,9960.0,10218.9,547,2.494053014
3087,19.5614,79.6133,19.56035,79.61447,360.335766,339.0,106,946,3.296544637,1.779052377,0.0,108.7554245,47500.0,47707.8,158,3.43677301
3089,20.9122,79.9264,20.91041,79.92709,293.4224974,278.0,227,712,3.805274959,1.885791779,0.0,65.85194397,1800.0,1780.3,228,2.703522828
3091,17.5908,80.8192,17.58959,80.81876,187.1061914,160.0,55,791,6.230662443,2.458771706,0.0,89.53778076,1565.0,1653.4,58,4.61183084
3092,18.6125,82.1428,18.61456,82.14374,710.3047632,611.0,231,1655,9.884510772,5.293669701,0.0,108.2779541,3047.0,5097.7,238,8.515917806
3094,21.2167,79.2331,21.21878,79.23124,585.2297084,600.0,206,1204,5.204063309,3.205846071,0.0,65.44865417,11100.0,11201.1,267,6.256960156
3098,18.62,79.8044,18.61877,79.80625,354.4947294,329.0,121,664,2.422290984,1.555063725,0.0,99.94126892,12691.0,12927.6,124,3.417156576
3099,19.2697,81.8839,19.26875,81.88542,604.8618883,601.0,537,904,3.098410555,2.640108347,0.0,59.96284103,1523.0,1480.7,540,2.947363681
3103,18.9783,79.9469,18.97708,79.9479,372.7931302,331.0,91,1204,3.749158781,1.941541433,0.0,116.3840637,108780.0,107797.8,98,3.959094486
3105,19.0122,81.2325,19.01457,81.23125,536.6128328,526.0,318,1266,8.681332009,5.105587482,0.0,109.1317978,1700.0,1873.6,330,7.544662291
3107,20.4219,80.0917,20.41875,80.08958,300.4933913,277.0,207,653,5.146057985,2.64683485,0.0,77.15124512,2600.0,1764.7,213,4.166157484
3109,19.0439,77.4556,19.04374,77.45622,544.6849962,529.0,333,1528,3.482685332,1.622219443,0.0,156.9631348,53630.0,53687.5,341,4.087877415
3110,19.3958,76.7708,19.3979,76.76876,500.3778736,486.0,376,934,2.418474569,1.359863758,0.0,60.373909,5550.0,5576.9,378,2.617117657
4003,16.7808,74.6333,16.78543,74.63123,721.8716281,691.0,526,1440,8.977722346,3.35755682,0.0,132.2944336,12660.0,12279.8,536,12.57268861
4004,15.8833,77.9572,15.88544,77.95623,599.9275566,596.0,269,1903,4.075193371,1.941541433,0.0,136.8544464,67180.0,66892.7,270,4.980705774
4005,14.4339,75.7797,14.43542,75.78124,662.5685631,650.0,535,1128,3.601079747,2.108379364,0.0,91.44982147,2300.0,2507.6,542,3.990233605
4006,15.8717,75.7228,15.87294,75.72293,639.0204977,632.0,529,1024,2.527074037,1.52037394,0.0,61.07461929,9373.0,9938.7,530,3.642117193
4007,16.7392,79.6697,16.73946,79.66875,430.9974174,459.0,56,726,2.190881339,1.707657099,0.0,89.92459106,11501.0,11312.0,62,3.938601549
4012,16.79,79.3387,16.78956,79.33959,324.9817601,293.0,128,701,3.2062612,1.52037394,0.0,74.04056549,3100.0,3284.3,131,4.999298065
4013,14.8306,75.6744,14.83124,75.67292,691.9411655,653.0,508,1867,7.374620808,3.602800131,0.0,136.8544464,14582.0,14653.5,510,8.741570022
4015,13.9761,75.6853,13.97709,75.68541,839.8105815,786.0,560,1867,12.80958439,8.895261765,0.0,136.8544464,2990.0,3442.6,567,17.44560202
4016,14.2372,75.6625,14.2396,75.6604,753.4276854,697.0,540,1867,10.79385915,7.12869215,0.0,136.8544464,7075.0,7452.5,540,12.11844455
4017,16.4911,76.9231,16.48958,76.92286,632.694238,612.0,346,1440,4.632586666,2.039795637,0.0,132.2944336,55150.0,54165.8,348,7.296930311
4018,17.2544,77.4628,17.25626,77.46039,545.2601973,546.0,422,726,2.753996364,2.150133371,0.0,31.26663208,1920.0,1943.1,426,4.718289673
4019,16.2592,77.8411,16.26042,77.83958,585.997154,573.0,268,1472,4.098805025,1.968824387,0.0,200.589035,132920.0,129542.3,277,5.96355039
4021,17.2944,74.1903,17.29375,74.18959,784.6174637,738.0,547,1440,13.80073711,6.600271225,0.0,132.2944336,5462.0,5432.2,557,16.39768183
