gauge_id,soil_depth,soil_conductivity_top,soil_conductivity_sub,soil_awc_top,soil_awc_sub,soil_awsc_min,soil_awsc_max,soil_awsc_major,sand_frac_top,sand_frac_sub,silt_frac_top,silt_frac_sub,clay_frac_top,clay_frac_sub,gravel_frac_top,gravel_frac_sub,bulkdens_top_major,bulkdense_top_mean,bulkdens_sub_major,bulkdens_sub_mean,org_carb_top_major,org_carb_top_mean,org_carb_sub_major,org_carb_sub_mean,organic_frac_top,organic_frac_sub,hsg_major,wtd
4049,1.266371364,10.92265809,4.407649723,0.222498005,0.236415895,25,150,125,16,15,29,28,55,57,4,5,1.21,1.280695652,1.21,1.260721649,0.75,1.086521739,0.45,0.416478261,0.020845066,0.009715433,C,-0.636692686
4050,1.206024096,9.895606823,3.21416356,0.26011231,0.282396799,50,150,50,47,36,30,27,23,37,35,19,1.4,1.4,1.31,1.31,1.13,1.001666667,0.41,0.407666667,0.041197954,0.017897477,D,-1.722064363
4051,1.295755968,17.12452747,5.190544917,0.222631118,0.231328564,125,125,125,16,15,29,28,55,57,4,5,1.21,1.21,1.21,1.21,0.75,0.75,0.45,0.45,0.017764321,0.009316858,C,-2.111096879
4054,1.422494646,11.351505,4.312971106,0.221738641,0.232931796,25,150,125,16,15,29,28,55,57,4,5,1.21,1.289895105,1.21,1.278221815,0.75,1.012141608,0.45,0.45875,0.020723072,0.00980765,C,-0.215130481
4055,1.413480885,17.52558095,5.527098018,0.226650051,0.237698131,125,125,125,16,15,29,28,55,57,4,5,1.21,1.213170732,1.21,1.21,0.75,0.892682927,0.45,0.507073171,0.02005352,0.009982394,C,-1.423255527
4056,1.289225589,12.16502354,3.754463092,0.247787833,0.265684174,50,150,50,47,36,30,27,23,37,35,19,1.4,1.35183908,1.31,1.284482759,1.13,1.032298851,0.41,0.419770115,0.031357649,0.013501853,D,-2.013880447
4057,2.245722953,17.62458283,5.859335552,0.224692676,0.24221082,25,150,150,47,39,29,27,24,34,9,8,1.39,1.321372796,1.33,1.279530201,0.86,0.859496222,0.38,0.393413098,0.024031719,0.012319545,C,-0.568802574
4060,2.797703157,16.40583206,5.57750354,0.22355564,0.235921963,25,150,150,47,15,29,28,55,57,4,5,1.39,1.301345689,1.21,1.268156164,0.75,0.932438605,0.45,0.439834749,0.023053908,0.011211202,C,-0.048856803
4061,1.61979692,8.207556723,3.096057855,0.211817226,0.214151528,125,150,125,16,15,29,28,55,57,4,5,1.21,1.216578947,1.21,1.214545455,0.75,0.81291866,0.45,0.452272727,0.016412631,0.008810795,D,-0.483021469
4062,2.595353484,16.26881037,5.529564263,0.2229836,0.235417042,25,150,125,16,15,29,28,55,57,4,5,1.21,1.296420286,1.21,1.264715364,0.75,0.934666093,0.45,0.443320625,0.022923566,0.01126984,C,-0.053099
4063,1.119047619,8.171834226,2.710813387,0.258584265,0.273590659,150,150,150,44,35,33,24,23,41,11,26,1.39,1.387741935,1.29,1.31483871,0.99,1.179677419,0.38,0.438709677,0.044155189,0.020601427,D,-3.466016551
4064,1.876226096,11.68365999,4.171596729,0.216012753,0.222849106,25,150,125,16,15,29,28,55,57,4,5,1.21,1.25141838,1.21,1.243399142,0.75,0.927620646,0.45,0.464792279,0.019529034,0.009488287,C,-0.108595369
5001,1.429460921,14.58316595,4.347444526,0.250563005,0.272475471,50,150,150,49,38,28,23,23,39,10,5,1.4,1.396610169,1.31,1.316779661,0.58,0.684237288,0.4,0.393389831,0.028218346,0.013302229,D,-1.103148701
5002,1.436586241,18.61656462,5.766392465,0.244340824,0.267240385,25,150,150,47,39,29,27,24,34,9,8,1.39,1.392808,1.33,1.323838028,0.86,0.842547923,0.38,0.351238019,0.026476041,0.011751707,C,-0.28624089
5004,1.291139241,23.53656793,7.856239241,0.227249702,0.244282825,125,150,150,47,39,29,27,24,34,9,8,1.39,1.377033898,1.33,1.315423729,0.86,0.903559322,0.38,0.399067797,0.029876657,0.012219639,C,-2.480451822
5005,1.097127937,13.32363886,4.36157644,0.246926207,0.262389307,25,150,150,47,39,29,27,24,34,9,8,1.39,1.376415094,1.33,1.316666667,0.86,1.02490566,0.38,0.263396226,0.028809358,0.011350395,C,-2.529514553
5007,1.15617849,11.70986866,3.701985713,0.255564319,0.280640182,50,150,150,47,39,29,27,24,34,9,8,1.39,1.391,1.33,1.328,0.86,0.843,0.38,0.3822,0.030302851,0.013157275,D,-1.305306156
5008,1.595597514,17.95941138,5.787276053,0.246190298,0.266461471,25,150,150,47,39,29,27,24,34,9,8,1.39,1.391022273,1.33,1.323991962,0.86,0.911023891,0.38,0.338634812,0.028613984,0.012228352,C,-0.267231365
5010,1.124461465,8.818528566,2.631084594,0.274050914,0.296682663,50,150,150,49,38,28,23,23,39,10,5,1.4,1.399824561,1.31,1.310350877,0.58,0.623508772,0.4,0.400350877,0.047424866,0.020427617,D,-1.935287073
5012,1.855044762,18.50719559,5.978293807,0.24204959,0.261037185,25,150,150,47,39,29,27,24,34,9,8,1.39,1.389099957,1.33,1.323860536,0.86,0.933339085,0.38,0.344236411,0.029483083,0.01220296,C,-0.211204764
5013,1.130317353,9.466702595,2.845015443,0.272253085,0.298001877,50,150,50,49,38,30,23,23,39,10,5,1.4,1.399512195,1.31,1.311463415,0.58,0.89097561,0.4,0.422682927,0.048200504,0.021026134,D,-2.922768003
5014,1.442348412,20.80902737,6.446863686,0.229764433,0.24562471,25,150,150,47,39,29,27,24,34,9,8,1.39,1.381206897,1.33,1.318734177,0.86,1.076275862,0.38,0.362482759,0.03539734,0.012909208,C,-1.087955167
5015,0.988215488,10.91916519,3.547460975,0.280334178,0.299425894,25,150,150,43,0,30,0,23,0,26,0,1.39,1.392857143,1.31,1.318125,1.4,1.315306122,0.0,0.336326531,0.05240644,0.021988127,D,-8.499493022
