gauge_id,num_dams,res_store_sum,n_dams,first_dam_year,last_dam_year,total_storage,reservoir_index,irrigation_frac,hydroelec_frac,drinking_frac,flood_frac,overflow_frac,navigation_frac,tailing_frac,pop_density_2000,pop_density_2005,pop_density_2010,pop_density_2015,pop_density_2020,urban_frac_1985,urban_frac_1995,urban_frac_2005,crops_frac_1985,crops_frac_1995,crops_frac_2005
3002,0,0.0,1,1982.0,1982.0,860000.0,0.000687915,1.0,0.0,0.0,0.0,0.0,0.0,0.0,117.1116196,132.9381333,151.3520174,161.9083857,171.5353851,0.002045901,0.00236185,0.002698517,0.467925975,0.498614485,0.510138862
3005,109,57631.899,177,1903.0,2013.0,10731908100.0,0.507788022,0.928961749,0.016393443,0.005464481,0.027322404,0.005464481,0.0,0.0,210.474674,222.4414516,234.0552992,249.9443627,265.1050572,0.00651266,0.006843618,0.006950115,0.4922805,0.4800817,0.487042115
3008,211,151909.551,315,1800.0,2016.0,6605221178.0,0.688826382,0.946031746,0.006349206,0.0,0.003174603,0.0,0.0,0.003174603,202.0284066,214.6487951,229.1077083,240.6401601,254.3816375,0.004876843,0.010087903,0.010749224,0.744807418,0.738861557,0.768538932
3009,18,5140.52,29,1967.0,2015.0,264259000.0,1.430794086,0.966666667,0.0,0.0,0.0,0.0,0.0,0.0,238.2951314,258.7800073,279.3332748,303.7983631,328.1593731,0.001929539,0.003011963,0.003572,0.783402201,0.783124535,0.82551321
3013,1,0.0,4,1986.0,2001.0,130165000.0,0.122752517,1.0,0.0,0.0,0.0,0.0,0.0,0.0,109.5540525,112.3402763,118.9853488,123.5707934,129.2423627,0.003333857,0.004204242,0.004223095,0.378931658,0.397388845,0.43743912
3014,18,0.0,29,1970.0,2015.0,827734800.0,,0.8125,0.0,0.0,0.03125,0.0,0.0,0.03125,169.6346023,178.6250858,189.7035222,198.485589,209.0519786,0.003627298,0.003627298,0.003609262,0.668132282,0.626318152,0.727966669
3017,1,0.0,1,1981.0,1981.0,1249000.0,0.000798313,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.14753724,68.98930528,68.52158714,76.65371349,85.45797956,0.0,0.0,0.0,0.445131466,0.516540532,0.578391979
3018,10,0.0,16,1966.0,2013.0,9386405000.0,1.144136011,0.727272727,0.181818182,0.0,0.045454545,0.0,0.0,0.0,125.4610188,136.5062879,148.9530958,161.4473264,174.5188517,0.004521385,0.005448122,0.00588286,0.454130427,0.475663295,0.503927373
3019,15,0.0,33,1966.0,2015.0,869887000.0,3.849084142,0.916666667,0.0,0.0,0.027777778,0.0,0.0,0.0,234.4791334,254.2439991,267.7656516,294.7533284,313.5595531,0.003375506,0.004645857,0.004697708,0.830457327,0.828315877,0.834118013
3020,130,0.0,235,1904.0,2015.0,6362319473.0,5.780322899,0.923766816,0.044843049,0.0,0.0,0.004484305,0.0,0.0,284.2067187,310.4125429,340.1264952,372.3196828,408.535,0.004608332,0.008369218,0.009772509,0.781628211,0.822093537,0.84581721
3024,3,0.0,4,1928.0,1999.0,25040000.0,0.300530681,1.0,0.0,0.0,0.0,0.0,0.0,0.0,211.4197338,222.0000517,232.6773113,243.762114,253.3969448,0.002527533,0.002527533,0.002506529,0.479139098,0.486658685,0.513467342
3028,86,0.0,120,1800.0,2016.0,2241450478.0,0.609092255,0.94214876,0.0,0.0,0.008264463,0.0,0.0,0.008264463,201.8631925,212.8372046,225.369336,233.6812987,243.5831491,0.00646262,0.011374011,0.012019271,0.768450179,0.75215124,0.78924989
3029,137,0.0,259,1904.0,2015.0,6453951473.0,4.887640704,0.931174089,0.04048583,0.0,0.0,0.004048583,0.0,0.0,282.5074078,308.7243963,338.2165803,369.9529764,405.4706812,0.004589848,0.008158382,0.009450035,0.784557845,0.82321662,0.846759481
3030,43,0.0,67,1800.0,2016.0,1544280088.0,1.048609061,0.898550725,0.0,0.0,0.014492754,0.0,0.0,0.014492754,180.6864545,190.0114453,198.2191109,210.542092,221.2261006,0.004701385,0.005151539,0.0052796,0.762802204,0.741090069,0.796053397
3031,7,0.0,11,1966.0,2004.0,9310695000.0,2.55172471,0.647058824,0.235294118,0.0,0.058823529,0.0,0.0,0.0,175.1533514,193.0740808,211.1250393,229.0091958,246.5426846,0.008080076,0.009568009,0.010237034,0.561042044,0.586060302,0.605263086
3038,22,0.0,42,1800.0,2003.0,215991000.0,0.428956028,0.95,0.025,0.0,0.0,0.0,0.0,0.0,247.0582145,264.0162757,289.5941228,312.8120036,336.884281,0.006495564,0.006495564,0.006464444,0.935618663,0.934328603,0.943786212
3040,6,0.0,7,1976.0,2001.0,2328444000.0,2.324730531,1.0,0.0,0.0,0.0,0.0,0.0,0.0,160.369282,175.6438869,188.5570648,202.8207958,219.7997772,0.001255308,0.001255308,0.001245501,0.670193952,0.636689648,0.541554294
3043,714,0.0,1273,1781.0,2016.0,53637530255.0,0.666294955,0.934504792,0.023961661,0.000798722,0.007188498,0.002396166,0.0,0.000798722,195.0235211,208.6969785,223.5061518,239.3832197,256.4679198,0.005011786,0.007263582,0.007798056,0.581058327,0.585591442,0.608963393
3045,8,0.0,13,1781.0,2000.0,6478365000.0,0.440403083,0.65,0.25,0.0,0.0,0.0,0.0,0.0,95.1988825,102.6840193,110.5158602,118.9770089,129.6596602,0.006416466,0.006993072,0.006435654,0.399812455,0.400079111,0.399447403
3047,0,0.0,1,1966.0,1966.0,29820000.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,177.1438464,194.0604629,210.9628425,229.4222144,250.5423137,0.008569569,0.010922468,0.012821508,0.702483682,0.727863938,0.753238222
