year,month,day,prcp(mm/day),tmax(C),tmin(C),tavg(C),srad_lw(w/m2),srad_sw(w/m2),wind_u(m/s),wind_v(m/s),wind(m/s),rel_hum(%),pet(mm/day),pet_gleam(mm/day),aet_gleam(mm/day),evap_canopy(mm/day),evap_surface(mm/day),sm_lvl1(kg/m2),sm_lvl2(kg/m2),sm_lvl3(kg/m2),sm_lvl4(kg/m2)
1980,1,1,0.0,24.5,13.2,18.85,323.97,241.72,1.98,0.44,2.03,49.36,,1.71,0.61,0.02,0.54,6.22,78.79,190.86,531.53
1980,1,2,0.0,23.65,8.5,16.08,288.06,248.61,0.16,-1.28,1.29,46.35,,1.72,0.53,0.0,0.59,6.01,78.59,190.72,531.5
1980,1,3,0.0,23.01,8.85,15.93,281.15,248.74,-2.51,-2.96,3.88,39.41,,1.72,0.51,0.0,0.52,5.82,78.4,190.59,531.48
1980,1,4,0.0,20.88,7.24,14.06,279.97,249.02,-3.32,-2.24,4.0,45.31,,1.71,0.64,0.0,0.44,5.66,78.23,190.46,531.48
1980,1,5,0.0,20.01,6.52,13.26,292.11,248.03,-2.5,-2.28,3.38,47.27,,1.77,0.59,0.0,0.47,5.49,78.06,190.35,531.45
1980,1,6,0.0,21.24,6.69,13.96,290.58,248.96,-3.08,-2.29,3.84,37.16,,1.75,0.51,0.0,0.5,5.33,77.86,190.19,531.41
1980,1,7,0.0,21.85,6.45,14.15,296.05,249.0,-2.16,-0.72,2.28,47.57,,1.82,0.5,0.0,0.46,5.16,77.68,190.05,531.39
1980,1,8,0.0,23.64,7.39,15.52,330.2,234.76,-0.43,-0.32,0.54,52.9,,1.87,0.5,0.0,0.52,4.99,77.5,189.91,531.36
1980,1,9,0.0,25.89,9.95,17.92,333.88,239.33,1.01,-0.72,1.24,54.04,,1.7,0.45,0.0,0.52,4.82,77.33,189.79,531.35
1980,1,10,0.0,27.4,11.33,19.36,314.77,246.94,0.8,-1.75,1.92,30.91,,1.88,0.48,0.0,0.53,4.68,77.15,189.66,531.35
1980,1,11,0.0,26.24,9.81,18.02,299.31,252.55,-0.51,-0.13,0.53,51.61,,1.88,0.47,0.0,0.48,4.53,76.99,189.52,531.35
1980,1,12,0.0,24.93,9.88,17.4,294.63,254.38,-1.38,-3.26,3.54,34.54,,1.87,0.45,0.0,0.49,4.41,76.81,189.37,531.31
1980,1,13,0.0,23.96,9.51,16.74,291.88,255.31,-2.96,-1.6,3.36,36.9,,1.87,0.44,0.0,0.45,4.28,76.64,189.26,531.3
1980,1,14,0.0,24.33,9.16,16.74,301.22,255.19,-3.3,-1.76,3.74,29.43,,1.91,0.47,0.0,0.49,4.16,76.47,189.1,531.27
