year,month,day,prcp(mm/day),tmax(C),tmin(C),tavg(C),srad_lw(w/m2),srad_sw(w/m2),wind_u(m/s),wind_v(m/s),wind(m/s),rel_hum(%),pet(mm/day),pet_gleam(mm/day),aet_gleam(mm/day),evap_canopy(mm/day),evap_surface(mm/day),sm_lvl1(kg/m2),sm_lvl2(kg/m2),sm_lvl3(kg/m2),sm_lvl4(kg/m2)
1980,1,1,0.0,25.22,13.2,19.21,326.01,215.49,2.57,-0.11,2.57,57.09,,1.67,0.94,0.04,0.53,4.92,74.35,181.74,536.15
1980,1,2,0.0,24.24,9.0,16.62,296.2,248.91,0.18,-1.57,1.58,46.93,,1.79,0.92,0.0,0.59,4.76,74.14,181.57,536.1
1980,1,3,0.0,23.83,9.31,16.57,285.53,250.97,-2.25,-3.06,3.8,39.8,,1.81,0.95,0.0,0.55,4.61,73.94,181.42,536.06
1980,1,4,0.0,22.22,8.46,15.34,286.03,251.09,-3.19,-2.28,3.92,46.05,,1.81,0.91,0.0,0.46,4.48,73.75,181.28,536.01
1980,1,5,0.0,21.83,8.27,15.05,301.84,242.89,-2.24,-2.16,3.11,50.22,,1.83,0.83,0.02,0.49,4.37,73.56,181.13,535.97
1980,1,6,0.0,22.81,8.51,15.66,296.07,250.68,-2.95,-1.95,3.54,39.63,,1.86,0.79,0.0,0.52,4.24,73.37,180.97,535.93
1980,1,7,0.0,23.31,8.76,16.04,304.54,250.4,-2.23,-0.61,2.31,50.52,,1.94,0.8,0.0,0.49,4.11,73.18,180.8,535.87
1980,1,8,0.0,25.04,10.08,17.56,339.83,236.25,0.01,-0.71,0.71,57.38,,1.93,0.75,0.0,0.53,3.97,72.99,180.65,535.83
1980,1,9,0.0,27.0,11.94,19.47,344.07,231.04,0.76,-0.49,0.9,53.5,,1.87,0.71,0.0,0.53,3.85,72.81,180.5,535.79
1980,1,10,0.0,27.91,12.43,20.17,319.56,248.03,1.02,-1.26,1.62,41.95,,1.97,0.73,0.0,0.56,3.72,72.63,180.34,535.73
1980,1,11,0.0,26.96,10.74,18.85,304.27,253.95,0.93,-0.25,0.96,51.24,,1.96,0.7,0.0,0.5,3.61,72.44,180.18,535.68
1980,1,12,0.0,26.13,10.63,18.38,296.21,256.38,-0.73,-2.78,2.87,35.62,,1.94,0.66,0.0,0.53,3.51,72.26,180.02,535.62
