year,month,day,prcp(mm/day),tmax(C),tmin(C),tavg(C),srad_lw(w/m2),srad_sw(w/m2),wind_u(m/s),wind_v(m/s),wind(m/s),rel_hum(%),pet(mm/day),pet_gleam(mm/day),aet_gleam(mm/day),evap_canopy(mm/day),evap_surface(mm/day),sm_lvl1(kg/m2),sm_lvl2(kg/m2),sm_lvl3(kg/m2),sm_lvl4(kg/m2)
1980,1,1,0.0,27.03,13.95,20.49,335.21,188.57,2.78,0.38,2.81,62.53,,1.72,1.21,0.05,0.33,4.31,71.54,179.18,543.96
1980,1,2,0.0,25.76,10.64,18.2,316.06,245.79,-0.14,-1.11,1.12,46.4,,1.9,1.2,0.01,0.44,4.2,71.41,179.07,543.92
1980,1,3,0.0,25.39,10.73,18.06,296.61,254.1,-1.62,-2.7,3.15,38.31,,1.95,1.29,0.0,0.45,4.07,71.28,178.92,543.87
1980,1,4,0.0,24.6,10.91,17.76,302.23,253.2,-3.3,-1.64,3.69,47.96,,1.99,1.21,0.0,0.37,3.96,71.14,178.81,543.83
1980,1,5,0.0,24.58,11.6,18.09,332.81,225.89,-2.27,-0.43,2.31,61.73,,1.91,1.03,0.04,0.37,3.9,71.03,178.69,543.78
1980,1,6,0.0,25.28,11.74,18.51,314.18,253.16,-3.31,-0.98,3.45,45.53,,2.06,1.02,0.0,0.41,3.8,70.9,178.59,543.72
1980,1,7,0.0,25.58,11.92,18.75,327.62,250.97,-2.29,0.99,2.49,52.85,,2.17,1.03,0.0,0.41,3.7,70.78,178.48,543.7
1980,1,8,0.0,27.24,13.59,20.42,356.52,242.68,-0.21,-0.65,0.68,52.13,,1.98,0.89,0.0,0.38,3.59,70.67,178.36,543.66
1980,1,9,0.0,29.09,14.93,22.01,357.92,237.82,0.56,0.27,0.62,50.77,,2.01,0.87,0.0,0.4,3.48,70.56,178.26,543.61
1980,1,10,0.0,29.33,14.86,22.1,339.66,250.12,1.46,-1.21,1.9,44.55,,2.17,0.91,0.0,0.4,3.38,70.45,178.16,543.55
1980,1,11,0.0,28.93,13.04,20.98,318.19,255.01,2.66,-0.68,2.75,35.32,,2.1,0.84,0.0,0.41,3.28,70.34,178.04,543.52
1980,1,12,0.0,28.48,12.92,20.7,300.66,260.06,-0.08,-2.22,2.22,32.75,,2.07,0.79,0.0,0.41,3.2,70.21,177.91,543.45
1980,1,13,0.0,27.57,12.37,19.97,305.49,259.27,-1.51,-1.26,1.97,35.53,,2.12,0.78,0.0,0.4,3.12,70.11,177.8,543.43
1980,1,14,0.0,27.95,12.46,20.2,327.96,256.33,-2.54,-0.82,2.67,40.3,,2.25,0.95,0.0,0.36,3.03,70.0,177.69,543.4
1980,1,15,0.0,28.43,13.8,21.12,336.51,255.57,-0.22,1.0,1.02,45.52,,2.31,0.84,0.0,0.38,2.95,69.9,177.59,543.35
1980,1,16,0.0,29.64,14.39,22.02,331.48,258.3,0.71,-0.04,0.71,46.79,,2.28,0.77,0.0,0.36,2.88,69.8,177.49,543.28
1980,1,17,0.0,29.51,13.69,21.6,329.66,259.75,-0.03,-0.53,0.53,44.11,,2.26,0.72,0.0,0.36,2.8,69.71,177.4,543.25
1980,1,18,0.0,29.3,13.14,21.22,338.0,259.64,1.53,0.16,1.54,45.97,,2.2,0.67,0.0,0.36,2.73,69.62,177.32,543.21
1980,1,19,0.0,29.72,14.13,21.92,344.35,255.43,0.07,-1.36,1.36,42.03,,2.27,0.67,0.0,0.35,2.66,69.54,177.22,543.19
1980,1,20,0.0,30.16,13.58,21.87,353.67,249.49,2.66,-0.26,2.67,45.28,,2.16,0.74,0.01,0.34,2.61,69.44,177.12,543.15
1980,1,21,0.0,30.37,13.47,21.92,323.26,266.31,1.65,-1.59,2.29,49.47,,2.27,0.7,0.0,0.35,2.56,69.35,177.01,543.1
1980,1,22,0.0,29.1,11.7,20.4,313.21,269.82,0.2,-2.25,2.26,37.72,,2.24,0.62,0.0,0.36,2.53,69.25,176.92,543.04
1980,1,23,0.0,28.02,10.7,19.36,297.16,273.1,-2.58,-2.06,3.3,21.73,,2.2,0.57,0.0,0.37,2.5,69.14,176.79,542.99
1980,1,24,0.0,27.14,11.36,19.25,300.94,277.88,-1.03,0.12,1.04,32.26,,2.25,0.56,0.0,0.33,2.48,69.05,176.7,542.94
1980,1,25,0.0,29.41,10.53,19.97,314.59,276.69,0.25,1.5,1.52,35.6,,2.36,0.57,0.0,0.36,2.46,68.96,176.59,542.9
1980,1,26,0.0,30.44,11.77,21.1,319.34,277.73,3.15,0.16,3.15,26.74,,2.31,0.57,0.0,0.33,2.45,68.88,176.52,542.87
1980,1,27,0.0,29.99,13.39,21.69,323.5,274.57,3.35,-1.11,3.53,45.36,,2.36,0.53,0.0,0.34,2.45,68.79,176.4,542.85
1980,1,28,0.0,28.66,13.42,21.04,312.39,279.22,3.23,-1.14,3.43,39.84,,2.28,0.49,0.0,0.35,2.45,68.69,176.31,542.81
1980,1,29,0.0,26.76,10.15,18.46,293.57,286.77,-0.67,-1.91,2.02,32.84,,2.25,0.47,0.0,0.36,2.44,68.59,176.19,542.76
1980,1,30,0.0,26.71,9.68,18.2,289.89,290.49,-1.0,-1.08,1.47,30.66,,2.24,0.44,0.0,0.35,2.44,68.51,176.1,542.71
1980,1,31,0.0,27.37,10.47,18.92,303.64,290.21,-0.5,0.2,0.54,27.91,,2.39,0.46,0.0,0.34,2.44,68.43,176.0,542.63
1980,2,1,0.0,29.19,12.05,20.62,316.15,286.51,2.41,1.18,2.68,30.24,,2.34,0.43,0.0,0.36,2.44,68.34,175.91,542.6
1980,2,2,0.0,29.91,13.07,21.49,317.51,285.47,2.55,0.67,2.64,50.42,,2.09,0.37,0.0,0.34,2.45,68.25,175.8,542.55
1980,2,3,0.0,27.36,13.45,20.4,325.41,285.16,2.23,1.11,2.49,41.96,,1.93,0.34,0.0,0.35,2.44,68.16,175.7,542.51
1980,2,4,0.0,27.09,13.15,20.12,288.23,294.7,3.45,-0.64,3.51,24.22,,2.3,0.38,0.0,0.35,2.45,68.06,175.59,542.45
1980,2,5,0.0,25.06,8.21,16.63,263.37,308.44,-0.81,-2.34,2.48,14.88,,2.29,0.37,0.0,0.36,2.44,67.97,175.49,542.43
1980,2,6,0.0,25.73,7.44,16.58,269.2,307.1,-1.9,-2.22,2.92,13.74,,2.33,0.36,0.0,0.36,2.44,67.88,175.38,542.37
1980,2,7,0.0,25.93,7.78,16.86,283.08,305.32,-2.7,-1.73,3.21,12.46,,2.4,0.36,0.0,0.36,2.44,67.79,175.29,542.33
1980,2,8,0.0,26.9,9.65,18.27,300.99,299.81,-1.2,-0.98,1.55,18.8,,2.53,0.37,0.0,0.32,2.44,67.73,175.2,542.31
1980,2,9,0.0,28.97,11.28,20.12,307.93,301.25,-0.31,-1.75,1.78,22.47,,2.55,0.35,0.0,0.34,2.43,67.66,175.11,542.27
1980,2,10,0.0,30.15,11.61,20.88,300.33,309.46,-2.6,-1.96,3.26,15.62,,2.59,0.35,0.0,0.36,2.44,67.59,175.03,542.2
1980,2,11,0.0,30.15,11.64,20.9,302.46,310.18,-1.98,-1.58,2.53,18.32,,2.61,0.37,0.0,0.34,2.44,67.52,174.94,542.16
