year,month,day,prcp(mm/day),tmax(C),tmin(C),tavg(C),srad_lw(w/m2),srad_sw(w/m2),wind_u(m/s),wind_v(m/s),wind(m/s),rel_hum(%),pet(mm/day),pet_gleam(mm/day),aet_gleam(mm/day),evap_canopy(mm/day),evap_surface(mm/day),sm_lvl1(kg/m2),sm_lvl2(kg/m2),sm_lvl3(kg/m2),sm_lvl4(kg/m2)
1980,1,1,0.0,26.45,13.1,19.77,331.27,161.71,2.91,0.18,2.92,61.19,,1.72,1.36,0.12,0.21,4.84,74.69,185.38,553.62
1980,1,2,0.0,25.11,9.72,17.42,306.71,249.13,0.09,-1.6,1.6,41.88,,1.89,1.37,0.0,0.34,4.7,74.58,185.32,553.6
1980,1,3,0.0,24.66,10.18,17.42,293.62,253.08,-2.34,-3.02,3.82,38.48,,1.93,1.51,0.0,0.34,4.56,74.46,185.24,553.58
1980,1,4,0.0,23.53,9.71,16.62,298.18,252.73,-3.72,-1.64,4.07,46.67,,1.96,1.38,0.0,0.29,4.44,74.35,185.16,553.56
1980,1,5,0.0,23.26,9.88,16.57,325.62,225.15,-2.62,-1.08,2.83,57.38,,1.86,1.16,0.1,0.27,4.4,74.25,185.09,553.56
1980,1,6,0.0,24.12,10.12,17.12,303.65,253.35,-3.41,-1.03,3.56,41.21,,2.0,1.15,0.01,0.32,4.31,74.14,185.03,553.56
1980,1,7,0.0,24.54,10.31,17.42,317.8,251.68,-2.62,0.32,2.64,52.05,,2.11,1.16,0.0,0.3,4.18,74.04,184.95,553.55
1980,1,8,0.0,26.24,11.98,19.11,353.96,242.14,0.12,-0.8,0.81,52.15,,1.92,1.01,0.0,0.3,4.06,73.94,184.88,553.54
1980,1,9,0.0,28.1,13.28,20.69,355.36,228.27,0.44,-0.07,0.45,44.62,,1.94,0.98,0.0,0.31,3.94,73.85,184.81,553.53
1980,1,10,0.0,28.52,14.01,21.26,335.36,247.48,1.02,-0.52,1.14,49.93,,2.14,1.03,0.0,0.3,3.82,73.76,184.75,553.51
1980,1,11,0.0,28.25,12.37,20.31,317.54,253.97,2.42,0.08,2.42,46.21,,2.1,0.97,0.0,0.3,3.71,73.66,184.67,553.48
